CT,Boro,Turnover
046002,Kings,4.4
046201,Kings,12.2
046202,Kings,0.0
046400,Kings,4.4
046500,Kings,4.2
046800,Kings,0.1
047000,Kings,9.2
047200,Kings,1.9
047300,Kings,1.8
047400,Kings,7.5
047600,Kings,14.1
047700,Kings,11.5
047800,Kings,5.8
048000,Kings,8.8
048100,Kings,13.9
048200,Kings,4.2
048300,Kings,27.8
048400,Kings,9.6
048600,Kings,6.8
048700,Kings,20.4
048800,Kings,11.5
048900,Kings,8.8
049000,Kings,4.5
049100,Kings,5.0
049200,Kings,7.1
049300,Kings,8.7
049400,Kings,16.3
049500,Kings,16.8
049600,Kings,4.7
049700,Kings,12.5
049800,Kings,12.1
049900,Kings,25.9
050000,Kings,5.8
050100,Kings,7.3
050201,Kings,4.6
050202,Kings,7.6
050300,Kings,15.4
050400,Kings,9.0
050500,Kings,9.4
050600,Kings,9.8
050700,Kings,1.7
050800,Kings,8.2
050900,Kings,3.2
051000,Kings,6.3
051100,Kings,7.2
051200,Kings,8.3
051300,Kings,17.9
051400,Kings,9.2
051500,Kings,14.4
051600,Kings,9.2
051700,Kings,12.4
051800,Kings,5.9
051900,Kings,10.4
052000,Kings,9.3
052200,Kings,0.0
052300,Kings,15.0
052400,Kings,8.2
052500,Kings,4.3
052600,Kings,11.0
052700,Kings,7.0
052800,Kings,3.0
052900,Kings,1.6
053000,Kings,8.1
053100,Kings,8.9
053200,Kings,2.8
053300,Kings,2.0
053400,Kings,7.3
053500,Kings,0.2
053600,Kings,7.6
053700,Kings,1.1
053800,Kings,9.8
053900,Kings,1.8
054000,Kings,6.1
054200,Kings,2.3
054300,Kings,0.0
054400,Kings,7.3
054500,Kings,1.9
054600,Kings,2.4
054700,Kings,0.9
054800,Kings,5.3
054900,Kings,13.6
055000,Kings,4.8
055100,Kings,7.9
055200,Kings,6.2
055300,Kings,12.6
055400,Kings,9.8
055500,Kings,7.2
055600,Kings,15.8
055700,Kings,27.9
055800,Kings,4.5
055900,Kings,12.0
056000,Kings,3.0
056200,Kings,1.2
056300,Kings,14.1
056400,Kings,13.4
056500,Kings,12.2
056600,Kings,4.9
056700,Kings,5.2
056800,Kings,11.2
056900,Kings,23.8
057000,Kings,7.2
057100,Kings,6.3
057200,Kings,2.5
057300,Kings,7.5
057400,Kings,3.6
057500,Kings,14.6
057600,Kings,2.2
057700,Kings,8.5
057800,Kings,6.1
057900,Kings,12.0
058000,Kings,6.0
058200,Kings,10.1
058400,Kings,6.5
058600,Kings,7.3
058800,Kings,7.8
058900,Kings,14.5
059000,Kings,6.6
059100,Kings,17.7
059200,Kings,1.2
059300,Kings,7.5
059401,Kings,4.5
059402,Kings,9.4
059600,Kings,2.4
059800,Kings,8.7
060000,Kings,9.0
060600,Kings,4.6
060800,Kings,5.0
061001,Kings,10.2
061002,Kings,10.0
061200,Kings,15.9
061400,Kings,4.1
